name;nummer;identity
Aufforstung | Bepflanzung;10;GefahrArtComposite-20130502-2003-17
keine Gefährdung;1;GefahrArtComposite-20130502-2003-22
Aufschüttung | Einebnung;5;GefahrArtComposite-20130502-2003-5
Ausbreitung von Neophyten;25;GefahrArtComposite-20130502-2003-25
Flächenverlust;22;GefahrArtComposite-20130502-2003-9
Biozideinsatz;15;GefahrArtComposite-20130502-2003-18
sonstige Ablagerung;7;GefahrArtComposite-20130502-2003-11
Eutrophierung;14;GefahrArtComposite-20130502-2003-20
Zerschneidung;23;GefahrArtComposite-20130502-2003-12
Baumaßnahmen | Ausbau;2;GefahrArtComposite-20130502-2003-8
Ablagerung | Müll | Abfall;6;GefahrArtComposite-20130502-2003-0
Immissionsschäden;20;GefahrArtComposite-20130502-2003-7
Gewässerausbau;3;GefahrArtComposite-20130502-2003-19
Entwässerung;13;GefahrArtComposite-20130502-2003-10
Landwirtschaft;26;GefahrArtComposite-20130502-2003-26
Umbruch;12;GefahrArtComposite-20130502-2003-1
Abbau | Abgrabung;4;GefahrArtComposite-20130502-2003-2
Verkehr;17;GefahrArtComposite-20130502-2003-14
Schadstoffeintrag;18;GefahrArtComposite-20130502-2003-21
Erosion;21;GefahrArtComposite-20130502-2003-6
Aufgabe der Nutzung;8;GefahrArtComposite-20130502-2003-13
Gewässerverunreinigung;19;GefahrArtComposite-20130502-2003-3
Freizeitaktivitäten;16;GefahrArtComposite-20130502-2003-15
sonstige Gefährdung;24;GefahrArtComposite-20130502-2003-23
Abholzung | Rodung;11;GefahrArtComposite-20130502-2003-4
Intensivierung der Nutzung;9;GefahrArtComposite-20130502-2003-16
Eigentümer/Anwohner;27;GefahrArtComposite-20140122-0900-0
Industrie;28;GefahrArtComposite-20140610-1445-0
Fischerei;29;GefahrArtComposite-20141001-1301-0
