referenz;massnahme;beschreibung;lr1;lr2;lr3;lr4;lr5
1.01.01;Gehölzentfernung einmalig/Rodung;1.01.01 Gehölzentfernung einmalig/Rodung;1;1;1;1;1
1.01.02;Gehölzentfernung regelmäßig/Beseitigung von Neuaustrieb;1.01.02 Gehölzentfernung regelmäßig/Beseitigung von Neuaustrieb;1;1;1;1;1
1.02;Beseitigung krautiger Konkurrenzpflanzen/Neophyten;1.02 Beseitigung krautiger Konkurrenzpflanzen/Neophyten;1;1;1;1;1
1.03;Beseitigung von Ablagerungen (Schnittgut, Holz, Müll, Kirrungen etc.);1.03 Beseitigung von Ablagerungen (Schnittgut, Holz, Müll, Kirrungen etc.);0;1;1;1;1
1.04;Beseitigung militärischer Altlasten;1.04 Beseitigung militärischer Altlasten;1;0;0;0;1
1.05.01;umfassende Gewässerrenaturierung (bitte erläutern);1.05.01 umfassende Gewässerrenaturierung (bitte erläutern);0;0;0;1;0
1.05.02;Umbau/Neubau der Stauanlagen;1.05.02 Umbau/Neubau der Stauanlagen;0;0;1;0;0
1.05.03;Umbau/Neubau der Zuleitungsanlagen;1.05.03 Umbau/Neubau der Zuleitungsanlagen;0;0;1;0;0
1.05.04;Beseitigung von Querverbauungen/Sicherung der Durchgängigkeit;1.05.04 Beseitigung von Querverbauungen/Sicherung der Durchgängigkeit;0;0;1;1;0
1.05.05;Beseitigung von Uferverbauungen;1.05.05 Beseitigung von Uferverbauungen;0;0;1;1;0
1.05.06;Öffnen von verrohrten/kanalisierten Gewässerabschnitten;1.05.06 Öffnen von verrohrten/kanalisierten Gewässerabschnitten;0;0;0;1;0
1.05.07;Anlage / Instandsetzung von Fischpässen/-treppen;1.05.07 Anlage / Instandsetzung von Fischpässen/-treppen;0;0;0;1;0
1.05.08;Anlage von Durchlässen/Unterführungen;1.05.08 Anlage von Durchlässen/Unterführungen;0;0;0;1;0
1.05.09;Gewässeranbindung (z. B. Altwasser);1.05.09 Gewässeranbindung (z. B. Altwasser);0;0;1;0;0
1.05.10;Förderung einer erhöhten Fließgewässerdynamik/Schaffung von Strukturen;1.05.10 Förderung einer erhöhten Fließgewässerdynamik/Schaffung von Strukturen;1;0;0;1;1
1.06.01;Anlage/Optimierung von Nistplätzen/-hilfen (Horste, Nist- und Quartierkästen, Brutinseln);1.06.01 Anlage/Optimierung von Nistplätzen/-hilfen (Horste, Nist- und Quartierkästen, Brutinseln);1;1;1;1;1
1.06.02;Anlage/Optimierung von Versteckplätzen/Hangplätzen, einschließlich Wärmekammern;1.06.02 Anlage/Optimierung von Versteckplätzen/Hangplätzen, einschließlich Wärmekammern;1;1;0;0;0
1.06.03;Verdunklungsmaßnahmen in Dachräumen;1.06.03 Verdunklungsmaßnahmen in Dachräumen;0;1;0;0;0
1.06.04;Herrichtung und Bereitstellung von Gebäudeteilen (z. B. Dachräume);1.06.04 Herrichtung und Bereitstellung von Gebäudeteilen (z. B. Dachräume);0;1;0;0;0
1.06.05;Vergitterung (Fledermaus-Winterquartiere);1.06.05 Vergitterung (Fledermaus-Winterquartiere);0;1;0;0;0
1.06.06;Schaffung/Sicherung von Einflug-/Einschlupföffnungen;1.06.06 Schaffung/Sicherung von Einflug-/Einschlupföffnungen;0;1;0;0;0
1.06.07;Verhindern des Eindringens von Tauben;1.06.07 Verhindern des Eindringens von Tauben;0;1;0;0;0
1.06.08;Vermauern von Fenster-/Türöffnungen (Verhinderung Vandalismus);1.06.08 Vermauern von Fenster-/Türöffnungen (Verhinderung Vandalismus);0;1;0;0;0
1.06.09;Sicherung Zugang durch vandalismussichere Tür;1.06.09 Sicherung Zugang durch vandalismussichere Tür;0;1;0;0;0
1.06.10;Abwehr von Prädatoren (z. B. Manschetten an Nistplätzen);1.06.10 Abwehr von Prädatoren (z. B. Manschetten an Nistplätzen);1;1;0;0;0
1.07.01;Beseitigung/Rückbau von baulichen Anlagen (Wege, Brücken, Tunnel etc.);1.07.01 Beseitigung/Rückbau von baulichen Anlagen (Wege, Brücken, Tunnel etc.);1;0;1;1;1
1.07.02;Anlage von Steilwänden/Bodenabbrüchen;1.07.02 Anlage von Steilwänden/Bodenabbrüchen;0;1;1;1;0
1.07.03;Ansitzwarten für Vögel;1.07.03 Ansitzwarten für Vögel;0;1;0;0;1
1.08.01;Minimierung des Sedimenteintrages unspezifiziert;1.08.01 Minimierung des Sedimenteintrages unspezifiziert;1;0;1;1;1
